,hhmem_size_1,hhmem_age_1,hhmem_married_1,hhmem_age_2,hh_relate_3,hhmem_age_3,hhmem_age_4,hhmem_age_5,illness_5,hhmem_age_6,illness_6,hhmem_age_7,childu18_num,child5_17_num,adultm_num,adultf_num,econstatus,yrs_grow,cocoa_wgt,fert_buy,fert_cost,fert_lqd_cost,herbicide_buy_cnt,pesticide_buy_cnt,pesticide_cost,farm_a_1,farm_yracquired_1,farm_rights_1,farm_time_1,farm_km_1,farm_reserve_1,cocoa_years_1,cocoa_lndamnt_1,cocoa_variety_1,cocoa_ages_0_5_1,cocoa_ages_6_10_1,cocoa_ages_11_19_1,cocoa_ages_20_30_1,shadetree_num_1,shadetree_calc_1_1,shadetree_label_1_1,shade_tree_tot_1_1,shade_natural_1_1,shade_planted_1_1,shadetree_calc_1_2,shadetree_label_1_2,shade_tree_tot_1_2,shade_planted_1_2,shadetree_label_1_3,shadetree_tot2_1,pesticide_app_1,pesticide_num_app_1,pesticide_area_app_1,labor_hh_1,fam_worker_prep_1_1,disease_1,disease_year_1_1,disease_location_1_1,pest_1,doc_land_cocoa_yr_1,farm_a_2,farm_yracquired_2,farm_time_2,farm_km_2,farm_reserve_2,shadetree_tot2_2,noncocoa_affecthow,noncocoa_pay,days_random_a,random_c_options,income_source,fwildlifedied_1,ffladder_elders_1,ffladder_lmb_1,ffladder_frstdpt_1,rules_violate_1,likelihood_help3,trust_nbr,trust_lmb,trust_ca,chickens,sleeprooms,toilet,today,cocoa_price_kg,farm_a_1_acres,farm_a_2_acres,cocoa_produce
357,18,9,5,20,7,78,59,35,1,55,0,50,7,4,1,1,6,1,3,0,31,1,20,18,28,83,47,9,1,39,53,3,69,21,0,0,3,0,1,3,11,44,0,0,30,0,45,43,0,11,3,1,54,47,0,2,1,2,32,39,45,40,0,40,51,10,0,3,2,1,7,0,10,10,10,0,3,4,4,4,42,8,9,12,8,28,13,104
358,21,38,5,40,7,21,19,16,1,11,1,5,6,4,4,3,8,5,15,7,31,49,33,37,28,60,27,9,12,48,53,25,53,21,0,0,0,2,10,3,11,50,17,39,11,15,5,7,0,15,9,31,38,43,0,3,1,3,32,19,20,43,35,38,51,14,55,2,1,4,0,0,10,10,10,0,4,2,2,2,38,12,12,12,8,91,31,54
359,18,17,0,20,7,73,44,0,2,55,0,50,7,4,1,1,4,2,22,2,31,49,24,14,28,69,44,1,21,27,42,29,58,7,0,0,12,28,11,3,11,2,0,3,28,26,1,2,4,14,8,31,43,42,0,8,3,0,44,15,49,54,44,51,51,20,40,22,4,3,0,43,3,3,3,1,5,3,1,3,50,8,0,12,8,14,50,214
360,18,25,0,37,7,10,5,5,32,55,0,50,6,4,3,1,3,4,26,29,31,5,30,33,28,72,38,7,21,33,53,13,58,12,0,0,0,2,12,10,16,43,0,39,23,4,34,32,1,15,2,35,43,42,0,9,2,2,33,31,38,32,29,36,51,14,55,10,4,3,7,34,8,10,3,1,5,3,1,3,2,9,9,22,42,19,7,286
361,22,28,5,31,7,6,3,55,62,33,2,22,9,5,4,1,5,3,22,0,31,36,33,16,28,60,43,9,21,33,10,7,53,21,2,10,30,0,10,3,11,16,0,0,21,6,13,15,0,11,10,14,24,45,0,3,2,0,32,35,36,35,24,28,8,10,39,15,3,2,7,0,10,10,10,0,3,3,2,3,0,9,9,21,8,91,48,26
362,19,19,0,30,7,78,53,35,1,0,1,50,8,4,1,1,4,2,31,7,31,3,5,7,33,53,45,7,12,47,33,5,46,21,0,0,3,0,11,6,24,45,0,41,3,11,42,40,16,17,1,22,31,1,33,9,3,1,33,37,20,32,0,40,31,16,0,13,4,3,0,0,10,10,10,0,3,2,2,2,9,8,9,21,54,84,31,218
363,19,18,0,27,7,3,65,42,2,12,2,50,8,5,1,1,3,4,22,12,31,1,30,37,33,60,37,7,21,33,53,14,53,21,0,0,0,2,12,1,23,0,0,1,2,22,0,1,10,19,3,39,38,42,0,1,0,5,35,29,20,47,15,48,51,18,55,21,2,1,7,49,1,10,10,0,3,3,1,3,17,9,10,21,8,91,31,3
364,21,22,1,34,6,33,6,4,1,5,1,43,9,6,1,2,3,3,31,17,31,49,2,2,33,69,41,7,1,39,42,9,58,21,0,0,3,0,12,6,24,26,17,0,3,11,25,23,27,15,2,37,43,41,32,12,6,0,35,33,40,43,32,36,29,14,64,3,0,0,7,0,10,10,10,0,3,3,2,2,17,9,9,21,54,14,8,290
365,21,33,5,27,7,16,13,11,1,4,1,2,7,5,3,3,7,4,22,22,31,36,27,25,28,75,39,9,35,43,10,10,62,21,8,17,23,0,11,3,11,20,0,19,23,4,34,32,24,14,9,28,48,7,12,3,1,1,32,32,49,54,44,51,51,20,39,15,1,4,0,0,10,10,10,0,3,3,2,1,3,10,9,21,8,21,50,184
366,20,34,0,30,7,4,11,57,18,42,12,12,8,5,1,2,4,4,31,0,31,49,5,7,31,53,36,8,1,26,33,15,46,7,0,0,7,37,1,3,11,26,0,24,30,0,45,43,0,1,8,5,31,59,8,8,6,1,33,28,20,46,0,36,31,1,0,0,0,0,0,0,10,10,10,0,1,3,1,3,38,10,9,21,54,84,31,50
367,16,23,0,18,7,34,71,58,0,55,0,50,1,0,1,1,5,4,31,0,25,24,20,42,33,39,37,9,17,33,18,14,8,21,0,0,0,2,14,6,24,24,0,22,3,11,31,29,16,17,12,41,5,15,30,1,0,5,42,29,20,36,20,14,20,16,0,10,1,4,7,0,10,10,10,0,3,3,2,2,9,8,9,21,54,75,31,289
